cname,bmr_dem,ht_colonial,nunn_desert,nunn_dist_coast,nunn_tropical,p_durable,p_polity2,pwt_hci,pwt_pop,top_top10_income_share,undp_hdi,van_index,vdem_delibdem,vdem_egaldem,vdem_gender,vdem_libdem,vdem_mecorrpt,vdem_partipdem,vdem_polyarchy,wbgi_cce,wbgi_gee,wbgi_pve,wbgi_rle,wdi_acel,wdi_acelr,wdi_acelu,wdi_afp,wdi_agedr,wdi_araland,wdi_area,wdi_armexp,wdi_armimp,wdi_birth,wdi_bribfirm,wdi_broadb,wdi_busden,wdi_co2,wdi_death,wdi_debt,wdi_eduprp,wdi_eduprs,wdi_emp,wdi_empagr,wdi_empagrf,wdi_empagrm,wdi_empind,wdi_empindf,wdi_empindm,wdi_empser,wdi_empserf,wdi_empserm,wdi_expedu,wdi_expeduge,wdi_expedup,wdi_expedus,wdi_expedut,wdi_expmil,wdi_fdiin,wdi_fdiout,wdi_fertility,wdi_firftopm,wdi_firgifttax,wdi_forest,wdi_gdpagr,wdi_gdpcapcon2015,wdi_gdpcappppcon2017,wdi_gdpind,wdi_gerp,wdi_gerpp,wdi_gers,wdi_gert,wdi_gini,wdi_homicides,wdi_idpdis,wdi_idpvc,wdi_idpvp,wdi_infpay,wdi_internet,wdi_lfpf,wdi_lifexp,wdi_lifexpf,wdi_lifexpm,wdi_litrad,wdi_litradf,wdi_litradm,wdi_litry,wdi_migration,wdi_nerp,wdi_ners,wdi_pop,wdi_pop14,wdi_pop1564,wdi_pop65,wdi_popden,wdi_poprul,wdi_popurb,wdi_refasy,wdi_refori,wdi_semp,wdi_smokf,wdi_smokm,wdi_taxrev,wdi_tele,wdi_trade,wdi_unempfilo,wdi_unempilo,wdi_unempmilo,wdi_unempyfilo,wdi_unempyilo,wdi_unempymilo,wdi_wip,wef_ci,wef_elec,wef_gci,wef_mobile,wef_oc,wef_pr,wef_qoi,wef_wlf,who_halet,who_sanittot,whr_hap,wjp_abs_cor,wjp_civ_just,wjp_cj_cor,wjp_crim_jus,wjp_crsys_cor,wjp_exec_br,wjp_gov_pow,wjp_jud_br,wjp_leg_br,wjp_ord_secur,wjp_pol_mil,wvs_confaf,wvs_confch,wvs_confcs,wvs_confgov,wvs_confjs,wvs_conflu,wvs_confpar,wvs_confpol,wvs_confpp,wvs_confpr,wvs_conftv,wvs_demimp,wvs_democ,wvs_godbel,wvs_hap,wvs_imprel,wvs_pmi12,wvs_psarmy,wvs_psdem,wvs_psexp,wvs_pssl,wvs_relacc,wvs_satfin,wvs_subh,wvs_trust
Afghanistan,0,0,4.355736143291410,0.9224445132674080,0,4,-1,,,0.41010001,0.48300001,11.29300022125240,0.2849999964237210,0.1889999955892560,0.5529999732971190,0.1969999969005590,2.930000066757200,0.1410000026226040,0.3560000061988830,-1.4936998,-1.6095092,-2.7026317,-1.8313743,97.69999694824220,97.06671142578130,99.5,1.812045216560360,85.95954895019530,12.00343418121340,652230,,234000000,36.05099868774410,,0.0681767463684082,0.2116511166095730,0.2234788686037060,7.11299991607666,,7.298679828643800,4.458119869232180,1.643259048461910,45.9834098815918,53.91368103027340,44.16463851928710,18.48130989074710,26.4183406829834,16.66098976135250,35.5352783203125,19.6679801940918,39.17436981201170,4.34319019317627,8.202471733093260,44.19060134887700,22.25369071960450,,1.358856916427610,0.0643889084458351,0.1848167777061460,4.75,,,1.852782011032100,26.82060050964360,553.0361328125,1968.340942382810,14.03169918060300,110.0075073242190,,57.03929901123050,10.85844039916990,,6.594439029693600,49000,404000,3547000,,18.39999961853030,19.79348564147950,62.57500076293950,65.43199920654300,59.86600112915040,37.26604080200200,22.60078048706060,52.06343078613280,55.92940139770510,166821,,50.14070129394530,38972232,43.80791091918950,53.7751350402832,2.416953086853030,59.75228118896480,73.9739990234375,26.02599906921390,72278,2594827,84.33394622802730,7.199999809265140,39.40000152587890,9.89845085144043,0.3740791976451870,,16.78300094604490,11.71000003814700,10.45800018310550,21.22800064086910,16.05299949646000,14.45199966430660,27.01612854003910,,,,,,,,,53.90000152587890,,2.436034440994260,0.3040972352027890,0.3707886338233950,0.1718000769615170,0.3066800534725190,0.2640434801578520,0.3773871660232540,0.4368115961551670,0.1916318535804750,0.2398272305727010,0.2881960272789000,0.4075427055358890,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,1,0,0,0.0478929296146633,0,21,9,2.964992,2.880917072296140,0.3168,0.79400003,27.29759979248050,0.2599999904632570,0.363999992609024,0.8939999938011170,0.4169999957084660,2.069999933242800,0.3030000030994420,0.4930000007152560,-0.57292449,-0.15488033,0.088576451,-0.37624919,100,100,100,0.5937092304229740,47.69663238525390,21.88321113586430,27400,,1000000,10.28499984741210,36.09999847412110,17.75249290466310,1.524836182594300,1.544550061225890,10.78499984741210,83.88749694824220,9.046059608459470,9.930150032043460,2.957865953445440,35.54196929931640,40.16925048828130,31.90930938720700,20.78153991699220,16.81282997131350,23.89706039428710,43.67657089233400,43.01792144775390,44.19361877441410,3.342299938201900,10.13438320159910,57.60766983032230,21.5625,18.85009002685550,1.298479080200200,7.055092334747310,0.3304034769535070,1.399999976158140,18.10000038146970,34.59999847412110,28.79197120666500,19.22522354125980,4418.66064453125,13278.3701171875,20.11453056335450,100.6136016845700,75.14018249511720,96.16747283935550,61.392578125,29.39999961853030,2.127772092819210,250,,,31.60000038146970,72.23767852783200,43.8228645324707,76.98899841308590,79.67600250244140,74.63200378417970,98.5,98.30000305175780,98.69999694824220,99.5,-9117,94.5296630859375,86.60826873779300,2837849,16.47151947021480,67.70636749267580,15.82211303710940,103.5711288452150,37.88800048828130,62.11199951171880,105,15523,54.17132949829100,6,38.79999923706060,16.98326301574710,7.794937133789060,59.82973098754880,12.75800037384030,13.06700038909910,13.30799961090090,30.11199951171880,30.84600067138670,31.3430004119873,29.5081958770752,29.7581958770752,92.52799224853520,57.61417007446290,94.177001953125,3.781720399856570,3.30469012260437,35.46875381469730,0.797844409942627,69.09999847412110,53,5.364909648895260,0.3671053349971770,0.4760761559009550,0.2815617620944980,0.4260990619659420,0.3290095329284670,0.3870750367641450,0.4525991976261140,0.3243510127067570,0.2349138557910920,0.7851267457008360,0.5220814943313600,2.7165589,2.5525737,2.1625903,1.5847586,1.8576866,1.5679805,1.3781805,2.585947,1.351408,1.8323277,,9.6376514,3.9559238,0.9705652,2.8711927,2.8693283,,1.5964851,3.849031,3.475513,1.7441964,,,3.4887583,0.027856566
Algeria,0,6,23.27713605377170,0.7522285126240590,0,14,2,2.3839655,43.05305480957030,0.38080001,0.736,10.41234970092770,0.1889999955892560,0.2540000081062320,0.7739999890327450,0.1519999951124190,2.359999895095830,0.1129999980330470,0.2790000140666960,-0.66646022,-0.57343346,-0.84781432,-0.80030298,99.71877288818360,99.12109375,99.93169403076170,2.749240636825560,57.88946533203130,3.161804676055910,2381741,,675000000,22.43099975585940,,8.723391532897950,0.3532967269420620,3.718223333358770,5.39799976348877,,1.292819976806640,1.355909943580630,4.448474884033200,10.52449989318850,3.867479085922240,11.92249011993410,30.49271965026860,24.42917060852050,31.76609039306640,58.98276138305660,71.70340728759770,56.31143188476560,7.042397499084470,16.54917144775390,,,,6.692468166351320,0.7848833203315740,0.0100212730467319,2.941999912261960,,,0.81830894947052,13.78400611877440,3873.5087890625,10844.7705078125,32.5195198059082,110.33056640625,,105.9325485229490,53.61402893066410,,1.505120635032650,9600,,,,63.94999694824220,19.2296142578125,74.4530029296875,75.91200256347660,73.08200073242190,81.4078369140625,75.32296752929690,87.42295837402340,74.02999877929690,-18797,97.63516998291020,,43451664,30.6470832824707,63.33544540405270,6.017469882965090,18.24365615844730,26.26700019836430,73.73300170898440,97651,4571,31.02722930908200,0.699999988079071,41.29999923706060,,11.01399230957030,45.33050918579100,20.80200004577640,12.2480001449585,10.21100044250490,50.80099868774410,31.11300086975100,26.90500068664550,25.75757598876950,34.38171768188480,93.78167724609380,56.25389099121090,121.9324798583980,4.776766777038570,4.077913284301760,43.39908599853520,0.2113766223192220,66.40000152587890,62,5.437755107879640,0.4545438885688780,0.5642451047897340,0.5982785820961000,0.4346720576286320,0.4392635822296140,0.4044066965579990,0.4815239608287810,0.5385481119155880,0.385681539773941,0.7404003143310550,0.489539235830307,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,1,0,0,0.134176601589367,0,,,,,,0.84799999,12.97799968719480,,,,,,,,1.2660053,1.7494141,1.5885718,1.6162784,100,100,100,,37.98792266845700,1.635957479476930,470,,,7,,48.45559692382810,,5.777147769927980,3.900000095367430,,3.344320058822630,3.515959978103640,,,,,,,,,,,2.856162786483770,6.938821315765380,21.42038917541500,25.3067798614502,5.641059875488280,,,,,,,34.04255294799810,0.5594427585601810,34394.4140625,,12.66015815734860,88.71708679199220,,96.46275329589840,15.09827041625980,,2.574002504348760,,,,,93.20565032958980,,,,,,,,,1474,,,77700,13.33462047576900,72.47039794921880,14.19498062133790,165.3191528320310,12.08399963378910,87.91600036621090,,5,,28.29999923706060,35.29999923706060,,62.56241989135740,,,,,,,,46.42856979370120,,,,,,,,,,100,,,,,,,,,,,,,,2.002002,2.5065064,2.441767,2.5771947,1.8827727,2.2360122,2.8829999,1.9574037,2.2449999,2.2077923,9.1126623,6.6112223,0.64099997,3.2898407,2.0349302,2.7103934,1.3360488,3.6813626,2.6357214,1.8304914,1.751004,6.561316,4.0896416,0.25574425
Angola,0,7,0.425228661821526,0.4283643759996890,44.34624572755410,16,-2,1.4819844,31.82529449462890,0.5801,0.58999997,9.413800239562990,0.1829999983310700,0.1449999958276750,0.7379999756813050,0.1770000010728840,1.33299994468689,0.1019999980926510,0.3490000069141390,-0.93867254,-1.2583939,-0.60072601,-0.95099938,46.9554443359375,7.33344841003418,73.56540679931640,0.8369618058204650,91.92596435546880,4.305767059326170,1246700,,51000000,39.27099990844730,,0.3635103404521940,,0.5927429795265200,7.821000099182130,,,,4.513508796691900,59.20555877685550,66.18408203125,52.20917892456060,7.494998931884770,1.416061997413640,13.58952045440670,33.2994384765625,32.39984893798830,34.20132064819340,2.744996547698980,6.467226505279540,,,,1.700178146362310,-3.715002536773680,0.1801592409610750,5.370999813079830,,,53.42695236206060,9.94654369354248,2346.845947265630,6029.69189453125,45.67824172973630,88.57486724853520,,,11.06135940551760,51.29999923706060,,25000,,,,32.55014801025390,49.8120231628418,62.26100158691410,64.98200225830080,59.58399963378910,72.40000152587890,62.5,82.80000305175780,83.30000305175780,7557,,,33428486,45.30660247802730,52.10342407226560,2.589975118637090,26.81357574462890,33.17499923706060,66.82499694824220,25791,8196,66.26393127441410,,,10.09038543701170,0.3564744293689730,55.37581634521480,9.895999908447270,10.35000038146970,10.80099964141850,17.8169994354248,17.96699905395510,18.11800003051760,30,18.81977081298830,67.71697998046880,38.11248779296880,43.13051986694340,4.056840896606450,3.24653148651123,36.242431640625,0.3997340202331540,54.79999923706060,,,0.4257639050483700,0.4427473247051240,0.4979982376098630,0.3596514165401460,0.4900507628917690,0.3509725034236910,0.4195772409439090,0.510638415813446,0.3733111321926120,0.5983771681785580,0.4681336283683780,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1,5,0,0.0013240231462322,100,,,,0.0971179977059364,,0.78799999,16.80839920043950,,,,,,,,0.23853327,-0.20448671,0.92950493,0.40797353,100,100,100,,40.62158584594730,9.090909004211430,440,,0,12.15999984741210,,8.633341789245610,3.783888101577760,5.121730327606200,5.960999965667730,,48.76025009155270,17.97352027893070,,,,,,,,,,,3.880490303039550,9.27350902557373,,,,,5.451310634613040,0.1683931648731230,1.569000005722050,,,18.45454597473150,2.142180919647220,14433.8798828125,18787.564453125,20.4425048828125,112.1222381591800,70.25360107421880,120.9359588623050,,,9.712510108947750,1400,,,,95.68550872802730,,78.84100341796880,81.31600189208980,76.06099700927730,,,,,0,95.69547271728520,88.78981018066410,92664,19.08238410949710,71.11283874511720,9.804778099060060,210.6000061035160,75.56700134277340,24.4330005645752,,108,,,,,29.13752937316900,88.54829406738280,,,,,,,11.11111068725590,,,,,,,,,67,,,0.6065371632575990,0.6597196459770200,0.7863309979438780,0.5611376762390140,0.6827466487884520,0.5755829811096190,0.6182105541229250,0.8283136487007140,0.2950635850429540,0.7835142016410830,0.7271885275840760,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,0,0,0.583659516329386,0,23,-7,,10.0477180480957,0.3822,0.73000002,9.838399887084960,0.0399999991059303,0.1159999966621400,0.6340000033378600,0.0659999996423721,0.7689999938011170,0.0649999976158142,0.1940000057220460,-1.0770841,-0.15556385,-0.85224748,-0.7307201,100,100,100,1.587482929229740,44.29102325439450,25.21961212158200,82646,,37000000,12.5,12.10000038146970,19.40188217163090,1.299795866012570,3.398849487304690,7.5,22.18999862670900,0.9549199938774110,10.0272102355957,11.83625984191900,34.84196090698240,40.03535842895510,29.83057022094730,14.95153999328610,6.917437076568600,22.70405960083010,50.20650100708010,53.04716110229490,47.46533966064450,4.33204984664917,9.802010536193850,,,16.40216064453130,5.390494823455810,1.187903881073000,1.93305230140686,1.700000047683720,16.5,9.699999809265140,13.69419002532960,6.73894739151001,5083.56103515625,13726.76953125,41.95632171630860,98.23606872558590,44.68513107299810,81.75826263427730,36.15219879150390,,2.236277103424070,140,84000,735000,5.800000190734860,84.59999847412110,49.76625442504880,66.86799621582030,70.99800109863280,62.98600006103520,99.79598236083980,99.72675323486330,99.86824035644530,99.93392944335940,1084,92.42466735839840,88.53256225585940,10093121,24.22410583496090,69.30438232421880,6.471513748168950,122.1247406005860,43.60300064086910,56.39699935913090,1572,101468,66.96999359130860,0.1000000014901160,47.90000152587890,15.18557262420650,16.06899261474610,72.01786804199220,8.38700008392334,7.159999847412110,5.943999767303470,20.53400039672850,17.40399932861330,14.5939998626709,17.35537147521970,38.33138275146480,96.97734069824220,62.71789169311520,103.9214172363280,5.774840354919430,5.083663940429690,65.82981872558590,0.7008140683174130,63.59999847412110,69,5.173389434814450,,,,,,,,,,,,3.5148568,2.9748693,2.919826,3.3358467,2.7415929,2.5491452,2.7484965,3.1338675,2.1819358,2.570622,,8.6898451,7.270813,0.98540705,3.0282469,2.6347494,,1.7040551,3.4844151,2.4878035,3.0057688,,,3.6479604,0.28228229
Argentina,1,2,0,0.3523024037673630,0,35,9,3.0968044,44.78067779541020,0.4621,0.83999997,38.51333999633790,0.6859999895095830,0.6370000243186950,0.8740000128746030,0.6669999957084660,2.95199990272522,0.5609999895095830,0.8220000267028810,-0.16378066,-0.25381821,-0.072026245,-0.48733479,100,100,100,0.5307475328445440,54.76007843017580,15.35020732879640,2736690,,7000000,14.125,9.300000190734860,21.25312042236330,0.1986299306154250,3.405617475509640,8.508999824523930,,25.77693939208980,26.23196029663090,2.933027982711790,7.686438083648680,3.685106992721560,10.57785034179690,20.4570198059082,9.711953163146970,28.2215404510498,71.8565673828125,86.60294342041020,61.20061874389650,5.279640197753910,12.42228984832760,29.59457969665530,39.53939819335940,22.0803394317627,0.7344925999641420,1.266826391220090,0.3053316473960880,1.91100001335144,8,6,10.44071483612060,6.128467082977300,11341.2685546875,19685.216796875,22.18057250976560,110.6178131103520,76.18665313720700,112.4166793823240,99.26622772216800,42.29999923706060,5.366813659667970,3700,,,6.800000190734860,85.51438903808590,42.39383316040040,75.89199829101560,79.28500366210940,72.54599761962890,,,,,2344,99.18399810791020,90.79605102539060,45376764,23.65639877319340,64.61614990234380,11.72745418548580,16.58089256286620,7.888999938964840,92.11100006103520,3965,99,26.99999046325680,19.60000038146970,29.39999961853030,10.87153625488280,16.33395385742190,30.21979904174810,12.39000034332280,11.46000003814700,10.77600002288820,34.98400115966800,30.4069995880127,27.21699905395510,40.85602951049810,41.7470703125,94.69404602050780,57.20132827758790,132.0931549072270,4.059499740600590,3.750914096832280,47.72307586669920,0.73512202501297,67.09999847412110,,5.900567054748540,0.5170628428459170,0.5935372114181520,0.5749120116233830,0.4353852868080140,0.4757525324821470,0.4912935793399810,0.6149488687515260,0.6685963869094850,0.2980934679508210,0.6162140965461730,0.6102678775787350,2.2100618,2.6653817,1.860026,2.0317881,1.8425403,1.7885389,1.8790731,2.0917387,1.699247,2.108166,2.1381154,8.816411,6.9792185,0.93394798,3.1845889,2.7241151,1.8576858,1.606765,3.5375638,2.6406152,2.688117,2.0312109,5.8023686,3.7973902,0.2010431
Australia,1,0,10.8886163500763,0.3357049679218280,14.68000394545850,117,10,3.5496662,25.20319747924810,0.32910001,0.94700003,39.68933868408200,0.781000018119812,0.7229999899864200,0.9279999732971190,0.8100000023841860,3.930999994277950,0.6129999756813050,0.8539999723434450,1.6329559,1.5737755,0.86167693,1.6142451,100,100,100,0.4414946138858800,53.31620025634770,3.983869075775150,7692020,413000000,1655000064,11.5,,35.44838714599610,14.27239799499510,14.77265739440920,6.300000190734860,69.39833831787110,29.61090087890630,46.41540145874020,5.932219982147220,2.765993118286130,1.909098982810970,3.527276992797850,19.19109916687010,8.161979675292970,28.98962020874020,78.04290008544920,89.92891693115230,67.48310089111330,5.608449935913090,14.38820934295650,,,,2.010640144348150,1.153579711914060,0.6249966025352480,1.580999970436100,,,17.42131423950200,2.012103319168090,58115.9296875,48747.8515625,25.40628242492680,99.90110778808590,160.2143859863280,137.4907379150390,110.1392211914060,34.29999923706060,0.8609254360198980,51000,,,,96.39447021484380,46.99238967895510,83.19999694824220,85.30000305175780,81.19999694824220,,,,,117929,96.38095855712890,92.28430938720700,25655288,18.54172897338870,65.22467803955080,16.23359298706060,3.335312366485600,13.75899982452390,86.24099731445310,57411,20,16.47245979309080,11.5,15.60000038146970,22.6119499206543,21.25236511230470,44.23343276977540,6.354000091552730,6.460000038146970,6.553999900817870,13.12899971008300,14.21100044250490,15.25100040435790,30.46357536315920,69.52839660644530,99.33019256591800,78.74662780761720,113.5787124633790,5.612594127655030,6.067433834075930,60.84484481811520,0.9461107850074770,70.90000152587890,96,7.137367725372310,0.8159364461898800,0.7588738203048710,0.8798277974128720,0.7298544049263,0.845018208026886,0.7813407778739930,0.8236554265022280,0.9655638337135320,0.6114868521690370,0.8664949536323550,0.9053542613983150,3.0989079,2.1029317,2.4686925,2.1567953,2.6505034,2.1028676,2.142061,3.0626061,1.8497528,1.9392222,1.9905994,8.711421,7.1481638,0.56800026,3.1514685,2.0192168,2.2635531,1.4653074,3.4545765,2.560338,1.9931263,1.6005137,6.317184,3.8944726,0.48936543
Austria,1,0,0,0.2416165150700120,0,72,10,3.3810463,8.95510196685791,0.35139999,0.91299999,40.06565093994140,0.7139999866485600,0.7630000114440920,0.9300000071525570,0.7559999823570250,3.775000095367430,0.6100000143051150,0.8360000252723690,1.4777892,1.6062636,0.88752884,1.7701634,100,100,100,0.4958713352680210,50.49508666992190,16.05636787414550,82520,9000000,13000000,9.399999618530270,1.299999952316280,29.25533485412600,0.5306118726730350,6.632645606994630,10.30000019073490,99.86931610107420,6.266779899597170,11.04631996154790,4.713657855987550,3.906832933425900,3.427160024642940,4.330620765686040,25.05320930480960,11.64678001403810,36.89775085449220,71.03996276855470,84.92610168457030,58.77162933349610,5.569009780883790,8.96463680267334,,,,0.884127140045166,-2.680620670318600,0.1747560203075410,1.440000057220460,18.79999923706060,1.5,47.25096893310550,1.085519433021550,43455.69921875,51988.4140625,25.78114128112790,101.5608520507810,102.8571395874020,101.690559387207,88.70719909667970,29.79999923706060,0.729699432849884,67,,,2,87.52942657470700,46.84125518798830,81.19268035888670,83.59999847412110,78.90000152587890,,,,,20314,88.61717987060550,87.00131225585940,8916864,14.40321731567380,66.44734954833980,19.14942932128910,108.0570068359380,41.25199890136720,58.74800109863280,141816,18,12.21430015563970,25,27.70000076293950,24.40527153015140,42.51032638549810,100.2236328125,5.22700023651123,5.360000133514400,5.47700023651123,9.496000289916990,10.4379997253418,11.23400020599370,39.34426116943360,74.46807861328130,99.78024291992190,76.609130859375,123.535270690918,5.774054050445560,6.171303749084470,78.73516845703130,0.8922944664955140,70.90000152587890,100,7.213489055633550,0.8188568949699400,0.7680991291999820,0.8601599335670470,0.7992911338806150,0.8765509128570560,0.7790621519088750,0.8459376692771910,0.938386082649231,0.6313557028770450,0.9038318991661070,0.9266237616539000,2.7311554,2.2050052,2.6168456,2.28352,2.8878732,2.5284386,2.43981,3.1855381,2.1073079,2.1449816,,9.0894575,7.389771,0.73694819,3.2165627,2.3380084,,1.2861376,3.6695077,2.546679,1.4826369,,,4.0298538,0.51188117
